Taxon	Island
37	1
43	1
45	1
50	1
53	1
56	1
62	1
64	1
66	1
67	1
70	1
71	1
73	1
74	1
76	1
77	1
81	1
92	1
103	1
108	1
109	1
111	1
120	1
121	1
131	1
133	1
140	1
142	1
143	1
145	1
146	1
150	1
152	1
154	1
155	1
165	1
168	1
169	1
170	1
172	1
173	1
182	1
186	1
190	1
191	1
193	1
196	1
202	1
205	1
207	1
208	1
209	1
214	1
218	1
222	1
228	1
233	1
236	1
37	2
43	2
53	2
56	2
64	2
67	2
70	2
73	2
74	2
77	2
81	2
90	2
101	2
103	2
109	2
121	2
131	2
134	2
141	2
142	2
143	2
144	2
152	2
154	2
155	2
157	2
168	2
172	2
173	2
174	2
182	2
186	2
190	2
191	2
193	2
198	2
207	2
208	2
212	2
214	2
218	2
222	2
236	2
43	3
67	3
70	3
71	3
73	3
77	3
81	3
85	3
103	3
105	3
131	3
136	3
141	3
142	3
143	3
154	3
155	3
159	3
172	3
173	3
191	3
197	3
198	3
202	3
207	3
208	3
214	3
218	3
43	4
67	4
70	4
73	4
77	4
85	4
141	4
142	4
143	4
144	4
154	4
155	4
159	4
172	4
173	4
208	4
214	4
218	4
231	4
37	5
43	5
53	5
67	5
70	5
73	5
76	5
77	5
81	5
85	5
92	5
93	5
131	5
133	5
138	5
141	5
142	5
143	5
144	5
145	5
146	5
154	5
155	5
168	5
169	5
172	5
173	5
174	5
182	5
188	5
190	5
191	5
193	5
198	5
199	5
205	5
207	5
208	5
214	5
220	5
221	5
37	6
43	6
67	6
70	6
73	6
76	6
92	6
143	6
172	6
183	6
205	6
214	6
37	7
43	7
53	7
56	7
66	7
67	7
70	7
73	7
74	7
76	7
81	7
92	7
103	7
109	7
120	7
133	7
136	7
141	7
142	7
155	7
163	7
168	7
173	7
174	7
186	7
188	7
190	7
205	7
208	7
214	7
221	7
235	7
43	8
49	8
53	8
64	8
66	8
67	8
70	8
71	8
73	8
74	8
76	8
77	8
81	8
92	8
120	8
125	8
133	8
136	8
140	8
141	8
142	8
143	8
144	8
145	8
151	8
154	8
155	8
163	8
168	8
172	8
173	8
174	8
183	8
186	8
188	8
191	8
198	8
205	8
208	8
214	8
219	8
221	8
37	9
43	9
53	9
62	9
66	9
67	9
70	9
71	9
73	9
74	9
81	9
85	9
86	9
94	9
105	9
114	9
133	9
136	9
141	9
142	9
143	9
145	9
154	9
172	9
173	9
183	9
190	9
208	9
214	9
219	9
221	9
36	10
37	10
49	10
53	10
61	10
62	10
64	10
66	10
67	10
70	10
71	10
73	10
74	10
76	10
77	10
81	10
85	10
86	10
92	10
93	10
94	10
103	10
105	10
109	10
114	10
117	10
124	10
125	10
133	10
141	10
142	10
144	10
146	10
148	10
150	10
154	10
155	10
160	10
163	10
173	10
174	10
175	10
181	10
190	10
191	10
193	10
194	10
198	10
205	10
208	10
214	10
219	10
221	10
62	11
67	11
68	11
70	11
86	11
136	11
155	11
208	11
42	12
43	12
58	12
62	12
64	12
66	12
67	12
68	12
70	12
73	12
74	12
81	12
85	12
93	12
103	12
109	12
131	12
133	12
136	12
141	12
143	12
144	12
145	12
146	12
154	12
155	12
173	12
174	12
175	12
188	12
189	12
191	12
193	12
194	12
