Island,Area,Elevation,MAT,MAP,Temp,Rain,Dis,Dm,Geology,Total,Regional,Endemics,SIE
Amorgos,121,823,133.186,497.885,175.481,528.103,10.33,117.8,5,728,75,59,1
Anafi,38,584,139.123,497.632,181.105,522.789,21.14,207.1,8,504,45,35,0
Andros,380,1003,130.222,393.111,169.667,462.667,9.29,55.6,6,915,58,47,3
Antimilos,8,671,119.909,436.802,166.311,471.074,1.52,98.9,1,127,8,6,0
Antiparos,35,301,140.273,562.818,183.591,574.818,32.39,112.2,5,383,24,15,0
Astypalea,97,482,140.113,576.421,182.895,593.06,36.44,81.2,4,530,52,36,1
Donoussa,14,385,135.118,457.059,178.882,484.882,16.25,123.6,3,331,31,25,0
Folegandros,32,415,137.784,398.162,178.811,445.595,9.4,130.8,3,431,39,31,1
Gyaros,17,490,107.688,494.938,157.75,496.563,3.93,38.9,1,207,12,8,0
Ios,109,713,133.954,420.722,176.192,461.98,5.76,145.9,5,570,33,24,0
Iraklia,18,419,138.227,399.864,180.591,435.045,2.18,152.7,2,343,27,24,0
Kea,132,568,126.026,393.026,171.858,430.1,12.14,19.4,3,594,32,23,0
Keros,15,432,136.8,426.55,179.35,460.15,5.58,138.9,3,277,33,26,0
Kimolos,36,364,137.653,363.347,180.02,407.388,1.73,100.1,3,479,33,27,0
Kythnos,99,336,112.688,480.344,164.219,480.625,3.93,37.3,2,563,42,33,0
Milos,151,748,134.051,403.347,178.771,433.975,2.67,103.1,5,721,45,36,0
Mykonos,86,373,137.555,373.144,179.569,421.689,1.73,112,5,574,28,22,0
Naxos,428,999,127.069,432.951,170.394,469.222,5.38,130.1,7,1009,74,59,5
Paros,194,724,133.528,380.738,176.966,420.135,1.7,114.5,8,756,51,38,0
Polyaegos,18,350,136.789,369.947,177,423.947,1.74,108.4,2,240,12,11,0
Rinia,14,136,137.282,889.261,180.73,878.128,9.4,103.1,2,382,19,13,0
Santorini,76,567,141.615,703.846,181.962,733.462,0.37,177,3,546,30,23,0
Schinoussa,8,133,130.781,370.385,173.948,419.802,13.55,156,2,374,35,29,0
Serifos,74,585,131.883,375.33,173.989,424.67,11.59,62.5,6,575,31,25,0
Sifnos,74,682,135.035,411.754,176.86,454.912,5.76,85.9,4,654,53,39,1
Sikinos,41,600,136.014,899.689,180.243,877.689,21.83,142.4,3,463,47,37,1
Syros,84,442,77.0647,611.677,134.447,567.499,59.7,58.5,6,665,41,31,1
Tinos,195,726,125.953,418.837,171.181,455.109,1.52,79.1,7,786,43,33,1
