Island,Area,Elevation,MAT,MAP,Temp,Rain,Dis,Dm,Geology,Total,Regional,Endemics,SIE
Antikythira,19.7,378,138.66,361.766,181.489,401.809,1.7,112.2,3,311,28,25,1
Chalki,27.2,601,139.154,809.538,181.59,814.231,9.4,47.3,1,403,34,17,0
Elafonissos,18,276,134.13,585.478,180.609,564.217,9.59,0.6,2,554,35,31,1
Gavdos,32.7,360,147.276,726.586,187.034,735.759,34.96,190.8,2,438,24,20,1
Karpathos,300.9,1215,137.39,686.161,178.49,719.646,0.37,85.9,5,957,119,94,6
Kasos,66.7,601,139.756,637.778,180.467,672.444,5.89,141,6,543,59,48,0
Kriti,8264.6,2456,132.915,365.872,177.652,405.383,12.14,96.6,13,1638,354,322,172
Kythira,277.2,507,122.23,748.798,164.103,768.387,32.64,13.7,6,773,66,57,3
Rhodos,1401.5,1240,138.105,373.053,182.368,406.316,2.67,17.6,14,1213,118,53,8
Saria,20.5,630,141.444,393.444,184.444,423.333,2.18,85.5,1,424,69,52,0
